dashboard property,mapping key,Key,supported in TS,ThoughtSpot Hint,supported in Migrator
Height,height,,Default,,
Width,width,,Default,,
X-axis,x_axis,,Default,,
Y-axis,y_axis,,Default,,
Border Color,border_color,,NoSup,,
border-style,border_style,,NoSup,,
border-width,border_width,,NoSup,,
Margin,margin,,NoSup,,
Dashboard Layout (Fixed),fixed,layout,NoSup,,
Dashboard Layout (Automatic),automatic,layout,NoSup,,
Dashboard Layout (Range),,layout,NoSup,,
Phone layout,,layout,NoSup,,
Padding ,,,NoSup,,
Story,,,NoSup,,
Container,horz,Horizontal Container,NoSup,,
Container,vert,Vertical Container,NoSup,,
Text (Headlines/Summary),formatted-text,text,Full,,
Filters_General,,,Full,,
Filters_Wildcard,,,Partial,Create formula using the wildcard condition and use as filter,
Filters_Top/Bottom,,,Partial,??,
Filters_Condition,,,Partial,??,
Blank,empty,empty,Partial,Add blank tile or leave blank space between viz,
Image(As Tile),bitmap,bitmap,Partial,Add a tile and embed image on it,
Webpage (URL),web,web,NoSup,,
Dashboard Navigation (Button),button,Dashboard Navigation,NoSup,,
Symbolic Button,,,NoSup,,
Parameter,,,Full,,
Extension,,,NoSup,,